,index,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Complaint ID
10,37094,2014-07-08,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,CA,92173,,,Referral,2014-07-11,Closed with explanation,Yes,926652
11,33019,2014-11-25,Bank account or service,Checking account,Using a debit or ATM card,,,,M&T Bank Corporation,MD,21013,,,Referral,2014-12-03,Closed with monetary relief,Yes,1132777
12,34735,2014-03-24,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Ocwen,TN,37918,,,Referral,2014-03-31,Closed with explanation,Yes,773949
13,53730,2013-05-30,Bank account or service,Checking account,Using a debit or ATM card,,,,Bank of America,MA,01905,,,Web,2013-05-30,Closed with explanation,Yes,419926
14,31982,2015-08-26,Bank account or service,Checking account,Deposits and withdrawals,,,Company chooses not to provide a public response,Bank of America,NV,89129,,,Referral,2015-08-31,Closed with monetary relief,Yes,1537152
15,95912,2015-01-22,Bank account or service,Checking account,Deposits and withdrawals,,,,Comerica,CA,91911,,,Referral,2015-01-26,Closed with explanation,Yes,1204336
16,72253,2015-11-27,Bank account or service,Checking account,"Account opening, closing, or management",,,,"Citizens Financial Group, Inc.",OH,44704,,Consent not provided,Web,2015-11-27,Closed with monetary relief,Yes,1673945
17,16393,2016-06-27,Bank account or service,Savings account,"Account opening, closing, or management",,"Hi, American express savings only covers liability up to {$50.00}. 

How secure is the American Express Personal Savings site? 
At American Express we want you to be safe and secure when you bank with us online or by mobile device. 
If you tell us within two ( 2 ) business days after you learn of the loss or theft of your account access information or mobile device, your liability is limited to {$50.00} if someone should access your account without your authorization. Immediately report any unauthorized transaction to us at XXXX.",,Amex,CA,958XX,,Consent provided,Web,2016-06-27,Closed with explanation,Yes,1987618
18,59281,2015-01-15,Bank account or service,Checking account,Problems caused by my funds being low,,,,PNC Bank N.A.,PA,15146,,,Referral,2015-01-20,Closed with explanation,Yes,1194756
19,33043,2014-12-05,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,Bank of America,,,Older American,,Web,2014-12-08,Closed with explanation,Yes,1144746
20,68013,2015-12-04,Bank account or service,Checking account,Problems caused by my funds being low,,"Bank of America Charge me 3 times XXXX OVERDRAFT ITEM FEE FOR ACTIVITY OF XX/XX/XXXX ELECTRONIC TRANSACTION POSTING. Activity they said I done it, and they are right but their online web side redirect my transaction from my external bank "" XXXX XXXX '' to Bank of America checking account, account with no available money and charging me. Transaction I done many times with out problem. Something was happening ... XXXX XXXX "" phone support '' help me fix the problem, telling me she experience the same problem before with her personal account, then she asked me to logout and fixed the problem, then asking me to login again. Then Manager XXXX XXXX said, nothing can be done with OVERDRAFT ITEM FEE, it was my fault for not fixing the problem before, when the first incident happens. I try to explain to XXXX several times and she tried to explain to again to XXXX XXXX her supervisor. indeed I when to local bank and ask for help, they forgive XXXX fee and not the other XXXX and they never inform me about the real problem and how to fix the problem or even contact online banking, until the XXXX time, they even shared the online banking phone number with me. Feeling sad and very disappointment with Bank of America. 
",Company chooses not to provide a public response,Bank of America,TX,760XX,,Consent provided,Web,2015-12-04,Closed with monetary relief,Yes,1683962
21,100269,2012-07-10,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,TX,75287,,,Referral,2012-07-12,Closed with explanation,Yes,113998
22,54446,2012-04-11,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,HSBC North America Holdings Inc.,NY,11755,,,Phone,2012-04-12,Closed without relief,Yes,55626
23,8754,2012-10-16,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,MD,20603,,,Referral,2012-10-18,Closed with monetary relief,Yes,172750
24,83616,2014-09-23,Bank account or service,Checking account,Problems caused by my funds being low,,,,Bank of America,NY,14621,,,Referral,2014-09-30,Closed with explanation,Yes,1040325
25,85129,2013-08-19,Bank account or service,Checking account,Problems caused by my funds being low,,,,"Citizens Financial Group, Inc.",CT,06443,,,Referral,2013-08-20,Closed with monetary relief,Yes,496499
26,107491,2013-06-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,OK,73075,,,Referral,2013-06-25,Closed with monetary relief,Yes,440968
27,35256,2012-09-12,Bank account or service,Checking account,Problems caused by my funds being low,,,,KeyBank NA,OR,97045,,,Referral,2012-09-12,Closed with monetary relief,Yes,150866
28,9902,2016-05-09,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Citibank,FL,34684,,Consent not provided,Web,2016-05-09,Closed with non-monetary relief,Yes,1916426
29,79000,2013-02-20,Bank account or service,Checking account,Using a debit or ATM card,,,,TD Bank US Holding Company,FL,33617,,,Referral,2013-02-21,Closed with monetary relief,Yes,321435
30,64191,2013-09-13,Bank account or service,Checking account,Deposits and withdrawals,,,,U.S. Bancorp,CA,94070,,,Web,2013-09-16,Closed,Yes,526932
31,55951,2015-05-19,Bank account or service,Checking account,Deposits and withdrawals,,,,Nationstar Mortgage,KY,41031,,,Referral,2015-05-20,Closed with explanation,Yes,1383502
32,41515,2015-02-03,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Navy FCU,VA,22939,,,Referral,2015-02-04,Closed with explanation,Yes,1222367
33,77607,2013-01-17,Bank account or service,Checking account,Problems caused by my funds being low,,,,Bank of America,CA,92708,,,Web,2013-01-17,Closed with non-monetary relief,Yes,240348
34,10816,2012-11-16,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,U.S. Bancorp,CA,91011,Older American,,Web,2012-11-19,Closed with explanation,Yes,192397
35,40959,2013-12-17,Bank account or service,Savings account,Deposits and withdrawals,,,,Wells Fargo & Company,FL,33936,Older American,,Phone,2013-12-23,Closed with explanation,Yes,636772
36,33056,2013-08-05,Bank account or service,Checking account,Using a debit or ATM card,,,,Ally Financial Inc.,CA,94123,,,Web,2013-08-08,Closed with non-monetary relief,Yes,474527
37,42918,2014-10-06,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,MA,02139,,,Web,2014-10-06,Closed with explanation,Yes,1059548
38,86946,2016-03-10,Bank account or service,Checking account,"Account opening, closing, or management",,"I had a suntrust bank account a year ago. However upon getting a check and placing it in my account my account was locked and I was notified by the bank it was because I had place more money in my account then normal and they had to check for suspicious activity. I had no problem with that .i would say about a week or so later I got mail stating that my account was closed due to this and that they were going to reissue my funds. I got that specific check mailed back to me and I was told that I could cash it at another place .i took that check to be cashed at XXXX .where I waited for about a hour for the young lady to tell me that she could n't cash it and no one else would be able to go back to suntrust to cash the check. I was never able to cash it and I 'm frustration I just gave up .fast forward to now I wanted to open a bank account with XXXX XXXX XXXX . I was approved and told I was going to get my card in the mail .before I even got my card I got a letter stating my account was closed .when I called to inquire why it was closed so abruptly without me using it I was told that it was due p fraudulent checks which I was bewildered about because I never had placed any funds into this account and I never obtained a XXXX XXXX XXXX account . I then tried with XXXX XXXX with no avail but being told the same dilemma .while having a suntrust account o never was told of this and now I ca n't open up a account anywhere until the issue is resolved 
",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SunTrust Banks, Inc.",FL,330XX,,Consent provided,Web,2016-03-10,Closed with non-monetary relief,Yes,1826405
39,48861,2012-06-25,Bank account or service,Checking account,Using a debit or ATM card,,,,Wells Fargo & Company,NJ,07734,,,Referral,2012-06-27,Closed with monetary relief,Yes,107815
40,88724,2015-07-13,Bank account or service,Checking account,Problems caused by my funds being low,,,Company chooses not to provide a public response,Wells Fargo & Company,WA,98117,,,Referral,2015-07-14,Closed with explanation,Yes,1465710
41,46096,2015-01-05,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,TX,77036,,,Referral,2015-01-09,Closed with explanation,Yes,1181144
42,32543,2015-10-21,Bank account or service,Checking account,Deposits and withdrawals,,"Rush card did an update on their system and somehow my money magically disappeared. My balance was XXXX. I pumped XXXX in gas and my balance went down to XXXX. ( -XXXX ). I quickly withdrew the remaining balance. Last week one of my jobs deposited me a check of XXXX and my XXXX job a check of XXXX. I still have n't received either deposit. I have bills and kids and even if I did n't its my money and I need it. 
",,"Empowerment Ventures, LLC",TX,787XX,,Consent provided,Web,2015-11-10,Closed with monetary relief,Yes,1617739
43,67931,2016-07-07,Bank account or service,Other bank product/service,Deposits and withdrawals,,,Company believes it acted appropriately as authorized by contract or law,USAA Savings,TN,38381,Servicemember,,Referral,2016-07-11,Closed with explanation,Yes,2002052
44,117537,2015-08-26,Bank account or service,Checking account,Problems caused by my funds being low,,,Company chooses not to provide a public response,Wells Fargo & Company,NC,28540,,,Referral,2015-08-27,Closed with monetary relief,Yes,1537826
45,91532,2012-08-17,Bank account or service,Checking account,"Account opening, closing, or management",,,,Regions Financial Corporation,MO,63304,,,Referral,2012-08-21,Closed with monetary relief,Yes,137832
46,117502,2014-01-21,Bank account or service,Savings account,Deposits and withdrawals,,,,U.S. Bancorp,MN,55408,"Older American, Servicemember",,Web,2014-01-21,Closed with explanation,Yes,677520
47,55481,2014-05-20,Bank account or service,Savings account,Deposits and withdrawals,,,,Wells Fargo & Company,CA,92590,,,Referral,2014-05-21,Closed with explanation,Yes,861227
48,73397,2015-04-09,Bank account or service,Checking account,Deposits and withdrawals,,,Company chooses not to provide a public response,BB&T Financial,TX,75803,,Consent not provided,Web,2015-04-09,Closed with explanation,Yes,1322864
49,11127,2015-07-19,Bank account or service,Checking account,Using a debit or ATM card,,"I have had a Bank of America checking account for 12 years. Got an email while I was out of town that my debit card had been cancelled. Called them and they said there had been a data breach and they were sending me a new card ( which XXXX had already done. ) Card never came. So they cut off my debit card to merchants. I called them and told them I wanted a new card the next day. Of course, it never came. They finally cut off my debit card for use at ATM 's. Leaving me nothing but checks. I had over {$2000.00} in my account, have not changed my address for over 6 years. 
",Company chooses not to provide a public response,Bank of America,TX,752XX,Older American,Consent provided,Web,2015-07-19,Closed with monetary relief,Yes,1473636
50,79518,2013-12-25,Bank account or service,Checking account,Deposits and withdrawals,,,,First Hawaiian Bank,HI,96813,,,Referral,2014-01-06,Closed with explanation,Yes,645363
51,40226,2015-10-19,Bank account or service,Checking account,Problems caused by my funds being low,,,Company chooses not to provide a public response,Bank of America,CT,06010,Older American,,Phone,2015-10-21,Closed with explanation,Yes,1613673
52,78497,2015-04-23,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase & Co.,IL,60513,,,Referral,2015-04-27,Closed with monetary relief,Yes,1345604
53,88101,2016-09-07,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Amex,KS,67205,,,Web,2016-09-07,Closed with explanation,Yes,2100301
54,60055,2013-03-06,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,UT,84121,,,Phone,2013-03-07,Closed with explanation,Yes,343966
55,22778,2013-02-01,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of the West,NE,68127,Older American,,Phone,2013-02-07,Closed with explanation,Yes,288191
56,71789,2016-05-17,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Bank of America,TX,77338,,,Phone,2016-05-17,Closed with explanation,Yes,1929741
57,45505,2012-04-01,Bank account or service,Checking account,"Account opening, closing, or management",,,,"Citizens Financial Group, Inc.",NY,10023,,,Web,2012-04-03,Closed without relief,Yes,43174
58,12080,2014-08-20,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,TD Bank US Holding Company,NY,11001,,,Web,2014-08-20,Closed with monetary relief,Yes,992570
59,52718,2016-04-08,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Wells Fargo & Company,TX,78729,Older American,,Phone,2016-04-08,Closed with explanation,Yes,1870269
60,50551,2013-10-23,Bank account or service,Checking account,Deposits and withdrawals,,,,Regions Financial Corporation,TN,38125,,,Referral,2013-10-24,Closed,Yes,568387
61,105823,2016-07-08,Bank account or service,Checking account,"Account opening, closing, or management",,"This has to do with Santander Bank. My wife closed our account on XXXX/XXXX/16 and was given no written documentation or verbal conditions of closing the account. On XXXX/XXXX/16 we received a phone call after XXXX from the XXXX XXXX Santander Branch in XXXX, PA saying that our account was overdrawn due to XXXX transactions, XXXX of which were dated XXXX/XXXX/16 and the XXXX others dated XXXX/XXXX/16. I went immediately the next day on XXXX/XXXX/16 in good faith to pay the {$67.00} that I owed them for the XXXX transactions by paypal and asked how these transactions could go through 2 days and 5 days after an account was closed with a {$0.00} and negative balance. I was told that if transactions are made before the account was closed within 24-48 hours the account will reopen and transactions will continue even with a negative balance. They could not provide any written policy when asked. I paid the {$67.00} for the XXXX charges and asked them to dispute the {$140.00} in overdraft charges. At the same time they had informed me that the savings account was n't properly closed because there was still {$0.00} left in the account so I am not even sure the Branch closed the account properly and just did a withdrawal versus closing. On XXXX/XXXX/16 I received a call from XXXX at the Santander Bank collections department trying to collect the {$140.00} and I told them the account was being disputed and she did n't even realize the account was closed making me more skeptical if the account was closed. She then forwarded me to XXXX at the customer service department. After explaining my situation he kept me on hold several times for 30 minutes saying they were speaking about it and said they could n't help me and I have to go back to the branch. I asked for the supervisors name and he said the calls are recorded if I was going to file a complaint. I asked him to forward me to his supervisor which he did.She then told me that the bank will allow transactions up to 30 days on closed accounts not the 24-48 hours the branch told me. When I asked if they had a written policy she admitted they did n't. At this point it seems like the bank is acting recklessly with no written policy on how to handle closed accounts and how long they accept charges. As recommended by customer service I contacted the XXXX XXXX branch in XXXX, PA on XXXX/XXXX/16 hoping to speak the branch manager. I spoke to XXXX who told me that the branch manager was n't available today or on Saturday and I could try back next week if I wanted to. She told me he told her to tell me to contact customer service. When I told them I spoke to customer service and they told me to contact the branch manager she told me that is what he told me and I can try back next week if I wanted to. At this point I told XXXX that no one can give me a straight answer and told her I was contacting the Consumer Finance Bureau she said go ahead and hung up. I called back trying to speak to XXXX who I spoke to on XXXX/XXXX/2016 at XXXX and was told she was with a customer and she never called me back. I feel that the bank is taking advantage of us and trying to corner us into paying the overdraft fees by sending me to branch to customer service and back and forth in a wild goose chase. I think the bank is acting recklessly and committing fraud by closing accounts and accepting debits on the accounts with {$0.00} or negative balances to collect overdraft fees and not notifying the account holder until a week later. I work for a bank and have spoken to a former Santander Branch Manager, a lender at the bank, a branch manager at my bank and they have all agreed that they are not right and not acting in good faith and should return our fees after I already paid the debited amounts in full. I am hoping by contacting this bureau to get my overdraft fees reversed and to notify any other customers who have been taking advantage of with no written policy. Class action lawsuit?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Santander Bank US,PA,190XX,,Consent provided,Web,2016-07-08,Closed with monetary relief,Yes,2003788
62,21891,2013-11-01,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Fifth Third Financial Corporation,FL,33711,,,Postal mail,2013-11-04,Closed with non-monetary relief,Yes,582259
63,42261,2015-10-30,Bank account or service,Checking account,Deposits and withdrawals,,"Scottrade : I am writing on behalf of my son, who was a former customer of Scottrade financial products. My son has been a victim of corporate green at Scottrade when his account got hacked and Scottrade refused to refund any of the stolen money. 

Today I am writing to express my concerns over Scottrade 's response to my son 's complaints. Recently, my son discovered that XXXX XXXX XXXX, a branch manager at Scottrade exposed my son 's personal information by accepting insecure emails. Roughly 10 days after the insecure email, my son 's account was hacked. 

My son has been trying to resolve this with Scottrade but Scottrade has resorted to harassment and will not respond to his complaints. My son asks simple questions and Scottrade responds in a manner that is dehumanizing. 
",,Scottrade Bank,CA,959XX,,Consent provided,Web,2015-10-30,Closed,Yes,1633153
64,34306,2012-08-29,Bank account or service,Checking account,Problems caused by my funds being low,,,,JPMorgan Chase & Co.,WA,98042,,,Web,2012-08-30,Closed with monetary relief,Yes,144170
65,118191,2015-11-12,Bank account or service,Checking account,"Account opening, closing, or management",,"This complaint is about the fees my bank charged for a wire transfer, not the transfer itself. I did some business with a company XXXX and they pay through wire transfer. I had the money wired to my SunTrust account. The remitting bank XXXX provided a receipt showing that they remitted {$9100.00} XXXX to SunTrust. When I received the deposit, {$30.00} XXXX was missing, but then SunTrust charged me {$15.00} separately for a "" domestic '' wire transfer. SunTrust publishes an incoming international wire transfer fee of {$30.00}. When I questioned the double charge XXXX {$30.00} off the top and {$15.00} extra ), SunTrust said they did not charge the {$30.00}. After several emails and phone calls, someone looked at the trail and determined that the incoming wire transfer came through XXXX bank and SunTrust received {$9100.00}. My guess is that SunTrust uses XXXX to process their international wire transfers since they are not an international bank. The Swift code for SunTrust was used but it obviously went through XXXX first, which shaved the published {$30.00} fee off the transaction. My main concern is that in the process of receiving my money, {$30.00} disappeared and I have no receipt or explanation for it. The fact that I was charged {$15.00} for a "" domestic '' wire transfer between the bank SunTrust uses for international transfers and SunTrust itself is double-dipping and criminal. These transactions should be transparent and all fees should be disclosed up front. I would have been fine giving SunTrust the published {$30.00} for the international wire transfer, but the fact that another bank ( that I am not a customer of ) got that and then I was charged {$15.00} for a domestic transfer is the issue. It 's dishonest and needs to be stopped. 
",Company chooses not to provide a public response,"SunTrust Banks, Inc.",TN,372XX,,Consent provided,Web,2015-11-12,Closed with explanation,Yes,1651483
66,57240,2016-03-09,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,Capital One,NE,68164,,,Referral,2016-03-10,Closed with monetary relief,Yes,1825065
67,93775,2016-02-12,Bank account or service,Checking account,Deposits and withdrawals,,"Some one stole XXXX dollars out of my Wells Fargo account XXXX XXXX in XXXX, North Carolina. Wells Fargo did not replace the money nor acknowledge my lost. 
",Company chooses not to provide a public response,Wells Fargo & Company,FL,330XX,,Consent provided,Web,2016-02-12,Closed with non-monetary relief,Yes,1785216
68,55406,2015-02-24,Bank account or service,Checking account,Problems caused by my funds being low,,,,PNC Bank N.A.,FL,32765,,,Referral,2015-02-25,Closed with explanation,Yes,1255227
69,74839,2012-05-07,Bank account or service,Checking account,Problems caused by my funds being low,,,,U.S. Bancorp,CA,94513,,,Web,2012-05-10,Closed without relief,Yes,72099
70,30310,2014-03-22,Bank account or service,Savings account,Deposits and withdrawals,,,,TD Bank US Holding Company,MA,02720,,,Web,2014-03-22,Closed with monetary relief,Yes,773439
71,75192,2013-09-11,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Wells Fargo & Company,WY,82433,,,Web,2013-09-19,Closed with explanation,Yes,524075
72,11420,2013-02-27,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,Regions Financial Corporation,FL,32208,,,Web,2013-02-28,Closed with explanation,Yes,336613
73,87610,2015-05-07,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company chooses not to provide a public response,Banco Popular de Puerto Rico,PR,00926,,,Referral,2015-05-08,Closed with explanation,Yes,1365151
74,90342,2016-06-17,Bank account or service,Checking account,"Account opening, closing, or management",,,,Comerica,MI,48234,,Consent not provided,Web,2016-06-17,Closed with explanation,Yes,1974317
75,45724,2014-09-22,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,U.S. Bancorp,NV,89433,,,Web,2014-09-22,Closed with explanation,Yes,1039707
76,9355,2014-05-12,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,CA,93610,,,Referral,2014-05-15,Closed with explanation,Yes,848619
77,44558,2012-11-01,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,NY,10035,,,Referral,2012-11-06,Closed with explanation,Yes,182969
78,81736,2014-12-02,Bank account or service,Checking account,Using a debit or ATM card,,,,Experian,CA,91504,,,Web,2014-12-05,Closed with monetary relief,Yes,1139681
79,32814,2013-08-24,Bank account or service,Checking account,Using a debit or ATM card,,,,TD Bank US Holding Company,VA,20110,Servicemember,,Web,2013-08-26,Closed with monetary relief,Yes,503246
80,101538,2012-05-30,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,FL,33625,,,Phone,2012-06-03,Closed with explanation,Yes,89002
81,53067,2012-08-07,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,NY,10458,,,Referral,2012-08-15,Closed with explanation,Yes,131806
82,85748,2015-08-16,Bank account or service,Cashing a check without an account,"Making/receiving payments, sending money",,"HELLO I WENT TO CASH A CHECK AT BANK OF AMERICA THAT I HAD FROM A PAYDAY LOAN COMPANY AND BANK OF AMERICA CHARGED ME {$XXXX.00} XXXX DOLLARS TO CASH THE CHECK. THE ACCOUNT WAS DRAWN ON THE BANK THE BANNK IS NOT AN INDEPENDENT THIRD PARTY THEREFORE IT SHOULD NOT HAVE CHARGED $ XXXXTO CASH THE CHECK. I DID NOT HAVE AN ACCOUNT THERE. 
",Company chooses not to provide a public response,Bank of America,MO,641XX,,Consent provided,Web,2015-08-16,Closed with explanation,Yes,1520768
83,21095,2012-10-24,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,Capital One,WI,53516,,,Referral,2012-10-29,Closed with explanation,Yes,177883
84,2934,2013-04-09,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,AL,36602,,,Referral,2013-04-12,Closed with explanation,Yes,378075
85,30221,2015-02-18,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank US Holding Company,NJ,08088,,,Web,2015-02-18,Closed with explanation,Yes,1245939
86,91246,2015-04-26,Bank account or service,Checking account,"Account opening, closing, or management",,"My wallet was stolen or lost a couple of years ago and someone deposit fake checks into my account which resulted in a overdraft fee and closing off my account. I tried to explain to the bank that I was not at fault and I was the victim but they would n't listen. The XXXX reported me to chexsystems. I paid all the fees although I was n't responsible and still no help. I told them you have cameras in your banks if you look maybe you can catch the real the if now I ca n't have an account for seven years please help. 
",Company chooses not to provide a public response,Bank of America,NY,112XX,,Consent provided,Web,2015-04-26,Closed with explanation,Yes,1347547
87,75478,2015-10-06,Bank account or service,Savings account,Deposits and withdrawals,,"I have a checking and saving account at XXXX Bank. On XXXX XXXX, 2015 I canceled a recurring debit of {$490.00} payment from a company by the name XXXX. Meaning I no longer authorized for payments. I do n't owe XXXX I canceled my contract with XXXX in XXXX 2015. On XXXX XXXX, 2015 I had a direct deposit cleared, the canceled payment of {$490.00} was debited from my saving account on the XXXX XXXX, 2015 but, back posted on XXXX XXXX, 2015. The funds was not in my account on XXXX XXXX, 2015. XXXX Bank knows I have direct desposit bi-weekly so, the payment cleared and I was charged a fee for not having the fund in my saving on XXXX XXXX, 2015 
",Company chooses not to provide a public response,Citibank,CA,941XX,,Consent provided,Web,2015-10-07,Closed with monetary relief,Yes,1595907
88,87280,2015-12-23,Bank account or service,Other bank product/service,Deposits and withdrawals,,,,First Data Corporation,TN,37067,,,Phone,2015-12-28,Closed with explanation,Yes,1715816
89,57850,2016-06-02,Bank account or service,Checking account,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Bank of America,NV,89014,,Consent not provided,Web,2016-06-06,Closed with explanation,Yes,1952299
90,600,2012-07-03,Bank account or service,Checking account,Problems caused by my funds being low,,,,Bank of America,CA,93301,,,Referral,2012-07-05,Closed with monetary relief,Yes,111140
91,39527,2015-04-06,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,TX,76063,,,Referral,2015-04-06,Closed with explanation,Yes,1316980
92,89210,2012-03-30,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,KeyBank NA,OH,44142,Servicemember,,Phone,2012-04-03,Closed without relief,Yes,42927
93,119184,2012-05-07,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of Hawaii,HI,96825,,,Web,2012-05-10,Closed without relief,Yes,72599
94,27331,2016-07-13,Bank account or service,Checking account,"Account opening, closing, or management",,,,Fifth Third Financial Corporation,PA,15042,,,Referral,2016-07-15,Closed with explanation,Yes,2009963
